True Values (Train),RF Train Predictions,True Values (Test),RF Test Predictions,Best Params
0.20933773256113,0.22252174322034118,0.266181344829752,0.16697896311965044,0.2498408044366065
0.256598617446431,0.22821541936333758,0.164957767152992,0.1545777668300233,
0.148,0.1529832449229926,0.12103098011761,0.14188833504310044,
0.1393,0.144800781281547,0.269324086263651,0.229533714323905,
0.219126329862329,0.18184892157855864,0.1013,0.08866627646803493,
0.100287918961057,0.09191897059843251,0.191384030027889,0.1861067220350162,
0.2507,0.24489327696094956,0.2481,0.23194551356080373,
0.269940592064429,0.2517304155511657,0.149745501238967,0.21969714152428246,
0.14958111798616,0.19530705857818834,0.14381168025378,0.16434739431703677,
0.2527,0.26453308765140626,0.237598204505554,0.25062352470796845,
0.253141558168565,0.2501316735586078,0.1367,0.19501465663383227,
0.120420003791172,0.12180172907283959,0.230178843681676,0.25564389819109967,
0.1463,0.16537695869766253,0.116624511788089,0.1057617282435648,
0.1791,0.20494859203955745,0.163405321803679,0.21196769816490912,
0.157405749758404,0.10338144931140926,0.1329,0.14535852740083907,
0.1795,0.20623394228291236,0.111639519852608,0.08048729126021002,
0.202605420022943,0.17978472556813702,0.1556,0.11531813149732065,
0.37269825685335,0.2942783140492758,0.184690414788363,0.20087147813175843,
0.133495071283062,0.15033029192702718,0.28293067299788,0.2606869919044956,
0.2001,0.18889165291045623,0.188229303652197,0.1606850897281471,
0.1079,0.09787671688547668,0.122940931306794,0.12782408582686539,
0.158277291539291,0.14262017728601323,0.2754,0.2251711925083349,
0.239803171693749,0.19167126323411954,0.138168083653289,0.1316990044093538,
0.119029903714954,0.11382810572626077,0.2358,0.22546686998981508,
0.1933,0.20376468557502544,0.2494,0.24819977304213178,
0.1227,0.1120580990839457,0.139119278355405,0.1484488172171436,
0.169605571226253,0.21066430224904542,0.2127,0.2025447066437982,
0.2343,0.2078851681611677,,,
0.149409251402873,0.16188062669057846,,,
0.17862841107946,0.19083801814428614,,,
0.1211,0.12227477570892785,,,
0.260812725468356,0.2183976488801134,,,
0.28778975730544,0.27531056256969466,,,
0.251732457356755,0.2657641432388917,,,
0.187208282144144,0.21830019737809198,,,
0.17881323763852,0.21491391073198396,,,
0.1617,0.15456492862006263,,,
0.1223,0.12216240738125593,,,
0.241043631738805,0.28087632903499105,,,
0.137907143380336,0.1525339774612951,,,
0.2897,0.2777616475163786,,,
0.138567515427412,0.17248697557715129,,,
0.1335,0.15174042202966306,,,
0.219965542853072,0.21691576404523127,,,
0.188857710781843,0.20040068059991117,,,
0.124645165136985,0.12454676729227435,,,
0.1564,0.21364873767391923,,,
0.145461705902587,0.15914678304080293,,,
0.214271680536617,0.23734426711248607,,,
0.182335600221006,0.21155946095789396,,,
0.0976323759107233,0.06926993742601768,,,
0.345823661875013,0.2981695396148659,,,
0.1604,0.14461274738433796,,,
0.105940042634541,0.11837719447000608,,,
0.147761835415958,0.15225251928211656,,,
0.127965749925406,0.18465065547924492,,,
0.125961504617396,0.13608490325941097,,,
0.136509137686091,0.1996776131833951,,,
0.15289354449039,0.11320334430980761,,,
0.1886,0.17576279559428884,,,
0.275023804004732,0.21489647326501474,,,
0.130283404859182,0.14899946332909636,,,
0.3568,0.28539220111757535,,,
